Rec_1_color_r,Rec_1_color_g,Rec_1_color_b,Rec_2_color_r,Rec_2_color_g,Rec_2_color_b,Rec_3_color_r,Rec_3_color_g,Rec_3_color_b,concentration
253.8233597,216.071858,58.24778617,254.2201684,251.3236784,134.024477,111.6793986,146.7816129,118.3103032,5.00E-05
253.8278297,215.9027557,58.37149934,254.2695012,251.5001979,133.6423702,112.0144311,146.7514389,118.4571367,5.00E-05
253.8443547,215.7264441,58.03723315,254.218088,251.4389652,133.6434002,111.6793986,146.7816129,118.5147073,5.00E-05
253.8023407,216.071858,58.22158266,254.2327214,251.4954911,133.6434002,111.2821899,146.8002387,118.4571367,5.00E-05
253.8233597,215.9027557,58.03723315,254.2175387,251.4358266,134.1325037,111.7035034,146.6813795,118.7404557,5.00E-05
253.7865265,216.0045411,58.02205767,254.2411858,251.3578435,132.9493375,111.7903148,146.8433282,118.7404557,5.00E-05
253.8486099,215.761524,58.41122782,254.2175387,251.4389652,133.7737514,111.5184634,146.765409,118.3103032,5.00E-05
253.8023407,216.1329522,58.24778617,254.2413141,251.3578435,134.0471976,111.7035034,146.6813795,118.2577952,5.00E-05
253.8023407,216.1329522,58.33147622,254.2695012,251.4207803,133.6434002,111.6793986,146.8044142,118.4571367,5.00E-05
253.8443547,215.9413872,58.43265164,254.2288553,251.4538365,134.0471976,111.6669647,146.6813795,118.7404557,5.00E-05
253.788887,215.761524,58.33147622,254.2175387,251.4954911,134.024477,111.9620032,146.9200685,118.8708594,5.00E-05
253.8233597,215.8012535,58.3885035,254.2705896,251.5001979,134.0471976,111.7903148,146.8969552,119.0541345,5.00E-05
253.8261139,216.0045411,58.22158266,254.2375565,251.3290138,133.7737514,112.0144311,146.7578918,118.8708594,5.00E-05
253.8457999,216.1329522,58.41122782,254.2327214,251.433574,134.1665,111.8169675,146.765409,118.723471,5.00E-05
253.8221363,216.0045411,58.47964585,254.2375565,251.4358266,133.6423702,111.7783815,146.765409,118.3103032,5.00E-05
253.8273317,215.8012535,58.3885035,254.2364603,251.4389652,133.7737514,111.5184634,146.8920844,118.8564742,5.00E-05
253.8278297,215.7264441,58.50032212,254.2201684,251.4358266,134.0910722,111.6793986,146.8920844,118.3103032,5.00E-05
253.8023407,215.8923125,58.43265164,254.2327214,251.4538365,133.6433415,111.7903148,146.6813795,118.2577952,5.00E-05
253.8273317,215.9027557,58.1294014,254.2577297,251.4358266,134.1325037,111.6793986,146.8612835,118.851459,5.00E-05
253.7708178,216.0126056,58.03723315,254.2413141,251.4207803,134.1665,112.0144311,146.765409,118.8564742,5.00E-05
253.8233597,215.9413872,58.33147622,254.2288553,251.4538365,133.7737514,111.2821899,146.8433282,119.0354424,5.00E-05
253.7708178,216.071858,58.03723315,254.2577297,251.433574,134.024477,111.7903148,146.6655066,118.6834647,5.00E-05
253.8081182,215.9027557,58.50032212,254.2489461,251.4358266,133.3284708,111.5184634,146.8969552,118.4241026,5.00E-05
253.8221363,215.9027557,58.43265164,254.2411858,251.4954911,132.9493375,111.5440278,146.7578918,119.0354424,5.00E-05
253.8273317,215.9027557,58.22158266,254.2413141,251.5136113,133.6423702,111.7168353,146.8002387,118.2245347,5.00E-05
253.8233597,215.8012535,58.33147622,254.2201684,251.4538365,134.1325037,111.7035034,146.8920844,118.5147073,5.00E-05
253.7865265,216.0045411,58.43265164,254.2695012,251.3236784,133.5046309,111.7783815,146.7816129,118.6490632,5.00E-05
253.8023407,216.0045411,58.24778617,254.2302245,251.4538365,132.9493375,111.5440278,146.7578918,118.8564742,5.00E-05
253.7915769,215.9657942,57.72049045,254.2288553,251.3602231,134.0847288,111.8169675,146.8612835,118.2577952,5.00E-05
253.7708178,215.9413872,58.37149934,254.2175387,251.4207803,134.2061009,111.6669647,146.8920844,118.3103032,5.00E-05
253.7708178,216.071858,58.31242197,254.218088,251.5653488,134.0847288,112.0144311,146.765409,119.0541345,5.00E-05
253.8443547,215.761524,58.3885035,254.218088,251.3602231,133.3284708,111.5184634,146.7514389,118.6834647,5.00E-05
253.7915769,215.9657942,58.31242197,254.218088,251.3578435,133.6434002,111.510912,146.8002387,119.0354424,5.00E-05
253.8233597,215.9256043,57.72049045,254.2288553,251.3290138,134.2061009,112.0144311,146.8987873,118.723471,5.00E-05
253.8233597,215.761524,58.22158266,254.2412689,251.3578435,133.5046309,111.5440278,146.7514389,118.8564742,5.00E-05
253.8221363,216.071858,58.24778617,254.2411858,251.4206855,133.5046309,111.7783815,146.7816129,118.8564742,5.00E-05
253.8443547,215.761524,58.41122782,254.2413141,251.5136113,133.3284708,111.7783815,146.6813795,118.6490632,5.00E-05
253.8457999,216.1870445,58.31242197,254.2413141,251.3602231,133.7967685,111.7035034,146.6813795,119.0354424,5.00E-05
253.8457999,215.761524,58.47964585,254.2695012,251.5136113,133.6423702,111.7139598,146.6655066,119.0354424,5.00E-05
253.788887,215.7264441,58.31242197,254.2288553,251.433574,134.0847288,111.8169675,146.8920844,118.7404557,5.00E-05
253.8486099,216.071858,58.3885035,254.2175387,251.5136113,132.9493375,111.6669647,146.8044142,118.5147073,5.00E-05
253.7865265,216.1870445,58.1294014,254.2695012,251.5136113,133.5046309,111.5440278,146.9200685,119.0354424,5.00E-05
253.7708178,216.1870445,58.41122782,254.2288553,251.4954911,134.1325037,111.7783815,146.8920844,118.6490632,5.00E-05
253.788887,215.9413872,58.24778617,254.2302245,251.4389652,134.1325037,111.8169675,146.8987873,119.0541345,5.00E-05
253.7915769,216.0597365,58.02205767,254.2413141,251.3236784,134.1665,111.7168353,146.6813795,118.7404557,5.00E-05
253.788887,216.1870445,58.1294014,254.218088,251.433574,134.0471976,111.7903148,146.7514389,118.8564742,5.00E-05
253.8261139,215.9413872,58.02205767,254.2327214,251.3290138,133.7737514,111.6669647,146.765409,118.8564742,5.00E-05
253.8278297,216.1870445,58.02205767,254.2705896,251.4538365,134.1665,111.8169675,146.9200685,118.2245347,5.00E-05
253.8081182,216.1329522,58.37149934,254.2288553,251.3578435,133.6434002,111.6793986,146.7185712,118.4571367,5.00E-05
253.8221363,216.0126056,58.43265164,254.2375565,251.4538365,134.0847288,111.2821899,146.8002387,118.4571367,5.00E-05
253.7708178,216.0045411,58.3885035,254.2413141,251.433574,134.0910722,111.6265924,146.8433282,119.0541345,5.00E-05
253.788887,216.0045411,58.24778617,254.2695012,251.4389652,133.7967685,111.7035034,146.8612835,118.2245347,5.00E-05
253.8221363,216.1329522,58.47964585,254.2175387,251.5073038,133.6433415,111.5440278,146.9200685,118.7404557,5.00E-05
253.7708178,215.8923125,58.31242197,254.2695012,251.3602231,134.2061009,111.7783815,146.8044142,118.5147073,5.00E-05
253.8457999,215.9215678,58.03723315,254.2705896,251.4206855,133.7737514,111.7139598,146.8002387,118.2245347,5.00E-05
253.8404839,215.9413872,58.50032212,254.218088,251.4954911,133.5046309,111.7139598,146.6655066,118.6834647,5.00E-05
253.8404839,215.9027557,58.24778617,254.2364603,251.4954911,132.9493375,111.5440278,146.9200685,118.3103032,5.00E-05
253.8233597,216.0126056,58.24778617,254.2302245,251.4389652,133.7967685,111.6265924,146.8002387,119.0541345,5.00E-05
253.8221363,215.761524,58.22158266,254.2201684,251.5136113,132.9493375,111.9620032,146.9200685,118.6490632,5.00E-05
253.7708178,215.7264441,58.31242197,254.2413141,251.3578435,133.7737514,111.7035034,146.8987873,118.851459,5.00E-05
253.7915769,215.9027557,58.24778617,254.2175387,251.3236784,133.7737514,111.510912,146.8969552,118.3103032,5.00E-05
253.8457999,215.761524,58.47964585,254.2489461,251.3602231,134.0910722,111.7035034,146.9200685,118.851459,5.00E-05
253.8457999,216.0045411,58.41122782,254.2695012,251.5001979,134.1325037,111.5184634,146.8920844,118.6834647,5.00E-05
253.8486099,215.9256043,58.3885035,254.2489461,251.3290138,133.6434002,111.7783815,146.8987873,118.8708594,5.00E-05
253.8233597,216.1329522,58.50032212,254.2201684,251.4358266,133.6434002,111.7139598,146.8969552,118.4571367,5.00E-05
253.8486099,216.0126056,58.22158266,254.2695012,251.4538365,133.6434002,111.5440278,146.765409,118.4571367,5.00E-05
253.8081182,215.8012535,58.37149934,254.2412689,251.5001979,134.024477,111.6265924,146.8044142,118.2577952,5.00E-05
253.8457999,216.0597365,58.47964585,254.2411858,251.3602231,133.5046309,111.5184634,146.9200685,118.8564742,5.00E-05
253.7865265,216.0126056,58.24778617,254.2201684,251.5001979,133.6433415,111.5184634,146.765409,118.2577952,5.00E-05
253.8081182,215.9027557,58.34334784,254.218088,251.4389652,133.3284708,111.7783815,146.7514389,118.3103032,5.00E-05
253.8486099,216.1329522,58.02205767,254.218088,251.5136113,134.1325037,111.7903148,146.7514389,118.6490632,5.00E-05
253.7915769,215.8012535,58.3885035,254.2413141,251.4207803,134.0471976,111.6793986,146.8987873,118.8564742,5.00E-05
253.8233597,216.0126056,58.33147622,254.2375565,251.4207803,133.6434002,111.5440278,146.8433282,118.7404557,5.00E-05
253.7915769,216.071858,58.41122782,254.2411858,251.4954911,134.0910722,111.7168353,146.7514389,118.4241026,5.00E-05
253.8273317,215.8923125,58.31242197,254.2695012,251.3236784,133.5046309,111.7035034,146.7514389,118.2577952,5.00E-05
253.8261139,216.0597365,58.3885035,254.2201684,251.4538365,134.0847288,111.7783815,146.8044142,119.0354424,5.00E-05
253.8221363,216.071858,58.24778617,254.2375565,251.4206855,133.5046309,111.510912,146.8987873,118.6834647,5.00E-05
253.788887,215.9413872,57.72049045,254.2175387,251.5001979,133.5046309,111.6265924,146.8612835,118.6834647,5.00E-05
253.7708178,215.9215678,57.72049045,254.2364603,251.5653488,133.7967685,111.2821899,146.7514389,119.0541345,5.00E-05
253.8404839,215.761524,58.22158266,254.2288553,251.3602231,134.0471976,111.5440278,146.6813795,118.2245347,5.00E-05
253.8221363,215.9215678,58.1294014,254.2375565,251.4358266,133.6423702,111.510912,146.6655066,118.723471,5.00E-05
253.788887,216.1870445,57.72049045,254.2302245,251.4206855,134.0910722,111.6669647,146.7185712,118.2577952,5.00E-05
253.8023407,215.9027557,58.34334784,254.2175387,251.5073038,133.5046309,112.0144311,146.7514389,119.0354424,5.00E-05
253.8457999,216.0126056,58.03723315,254.2411858,251.3236784,134.1325037,111.6669647,146.8433282,118.6490632,5.00E-05
253.8443547,215.9215678,58.03723315,254.2327214,251.433574,133.6423702,111.6669647,146.8987873,119.0541345,5.00E-05
253.7865265,216.0597365,58.47964585,254.2375565,251.3290138,133.6434002,111.510912,146.8433282,119.0541345,5.00E-05
253.8404839,216.071858,58.02205767,254.2577297,251.3578435,134.1325037,111.5440278,146.8002387,118.8708594,5.00E-05
253.8486099,216.1329522,58.3885035,254.2327214,251.3602231,132.9493375,111.6669647,146.8002387,118.2577952,5.00E-05
253.788887,215.8923125,58.47964585,254.2413141,251.3236784,132.9493375,111.8169675,146.8920844,118.4571367,5.00E-05
253.8081182,215.8923125,58.02205767,254.2577297,251.5001979,134.1325037,111.9620032,146.8920844,118.3103032,5.00E-05
253.7915769,216.0045411,58.33147622,254.2175387,251.4389652,134.024477,111.7168353,146.765409,118.4571367,5.00E-05
253.8404839,215.7264441,58.47964585,254.2411858,251.3236784,133.6434002,112.0144311,146.8612835,118.6834647,5.00E-05
253.8443547,216.071858,58.37149934,254.2288553,251.4358266,134.024477,111.5184634,146.8987873,118.851459,5.00E-05
253.8233597,216.071858,58.1294014,254.2302245,251.4389652,134.2061009,111.7035034,146.7185712,118.851459,5.00E-05
253.788887,216.0597365,58.37149934,254.2413141,251.5001979,134.1325037,111.5440278,146.6813795,119.0541345,5.00E-05
253.8273317,215.8012535,58.31242197,254.2364603,251.5136113,133.6433415,112.0144311,146.7816129,118.8708594,5.00E-05
253.8233597,216.071858,58.33147622,254.2411858,251.3290138,133.3284708,111.7783815,146.8433282,118.851459,5.00E-05
253.7915769,216.1329522,58.31242197,254.2577297,251.5653488,133.5046309,111.510912,146.8044142,118.3103032,5.00E-05
253.8221363,216.1870445,58.41122782,254.2695012,251.3602231,133.5046309,111.6669647,146.6655066,118.2577952,5.00E-05
253.8273317,215.9256043,58.50032212,254.2695012,251.433574,133.3284708,111.6793986,146.8969552,118.2245347,5.00E-05
253.7922504,216.8559677,58.14028137,234.6165332,214.8908657,154.9875783,77.12344949,121.2113179,164.5776437,0.0005
253.8275532,217.0441917,57.86713485,234.764695,215.2782111,154.9875783,76.74057404,120.9871679,164.2350337,0.0005
253.8209151,217.0441917,58.15824091,235.1837696,215.188618,155.569563,77.16825779,121.067198,164.8572099,0.0005
253.8201458,217.0984185,57.8915211,234.6959068,214.9304246,155.2854895,77.06054937,121.0556813,164.7154645,0.0005
253.819793,216.5049635,58.17435881,234.6165332,214.9714523,155.3994479,77.35657767,120.9084099,164.6902583,0.0005
253.7820734,216.8559677,58.17435881,234.5759798,215.2782111,154.8424944,77.18044141,120.9831239,164.2350337,0.0005
253.8191737,216.8548635,57.92154147,234.757673,214.9892815,155.0640964,77.11774374,121.2458578,164.5812035,0.0005
253.8191737,217.0441917,57.8915211,234.5024613,215.0929225,155.4117493,77.14503319,121.1514301,164.7597196,0.0005
253.8201458,216.6719445,57.69338396,234.349252,214.9768418,155.3940159,77.32430681,121.0591931,164.7605803,0.0005
253.7820734,216.8559677,57.92154147,235.079351,214.9495661,155.3994479,77.11774374,121.067198,164.7605803,0.0005
253.819793,216.8559677,57.8915211,234.6165332,214.9304246,154.9875783,77.14503319,120.9831239,164.6902583,0.0005
253.819793,216.5049635,57.7147833,234.349252,214.9714523,155.2807,77.35657767,121.3178071,164.5776437,0.0005
253.8275532,216.8044543,58.00240424,235.1837696,214.9768418,155.569563,77.18044141,121.2458578,164.5027556,0.0005
253.7820734,216.8548635,57.85902988,234.5811344,215.2782111,154.8424944,76.86697209,121.2458578,164.8572099,0.0005
253.8536503,216.8480536,57.7147833,234.7172263,215.2450064,155.3994479,77.32430681,121.0556813,165.0738734,0.0005
253.819793,217.0400558,58.00240424,234.6959068,214.8754011,155.2854895,77.11774374,121.2637077,164.5027556,0.0005
253.8191737,216.5941847,57.90010396,234.91129,215.2782111,155.912613,77.12344949,121.0591931,164.2168613,0.0005
253.7896266,216.8593984,57.85902988,234.5759798,215.2450064,155.0640964,77.4330646,121.2458578,164.2350337,0.0005
253.8536503,216.8559677,57.9468306,233.8513786,214.9714523,154.8424944,76.74057404,121.3178071,165.0738734,0.0005
253.8335404,216.8480536,58.17435881,234.5811344,215.2782111,154.8110392,77.14503319,121.014358,164.5027556,0.0005
253.7896266,216.5941847,57.85902988,234.764695,214.9708953,155.2807,77.4330646,121.2113179,164.2350337,0.0005
253.7896266,217.0984185,57.85902988,234.4664726,215.0929225,155.1867683,77.4330646,121.0591931,165.0738734,0.0005
253.8335404,216.5049635,58.17435881,234.5024613,214.8908657,155.912613,76.74057404,120.9871679,164.7597196,0.0005
253.7820734,216.7665543,57.72058064,235.079351,215.0929225,155.912613,77.25681727,121.0556813,164.5776437,0.0005
253.8149261,216.6719445,58.14028137,235.079351,214.8908657,155.0640964,76.74057404,121.0556813,165.0738734,0.0005
253.8209151,216.707511,57.86713485,235.1837696,214.9316666,155.2854895,77.25681727,120.9631215,164.7154645,0.0005
253.8209151,217.0400558,57.79950919,234.764695,214.9714523,155.0640964,77.12344949,121.1514301,164.7154645,0.0005
253.8166905,217.0441917,58.15824091,234.91129,214.9304246,155.4934087,77.25681727,121.067198,164.730501,0.0005
253.8209151,217.0400558,57.92154147,234.757673,215.188618,155.3940159,77.06054937,120.9831239,164.5812035,0.0005
253.7922504,216.8548635,58.17435881,234.349252,214.9316666,155.4117493,77.26989453,120.9084099,164.9417443,0.0005
253.7922504,216.7665543,57.79950919,234.349252,215.2782111,154.8424944,77.11774374,120.9871679,164.7154645,0.0005
253.7896266,217.0441917,57.9468306,234.5024613,214.9495661,155.569563,76.86697209,121.0591931,164.8572099,0.0005
253.8275532,216.8593984,57.90010396,234.7172263,214.9708953,155.7323781,77.16825779,120.9871679,164.7597196,0.0005
253.7922504,217.0400558,57.79950919,235.079351,214.9892815,155.0640964,77.11774374,120.9631215,164.6902583,0.0005
253.8149261,216.8559677,57.90603966,234.3654819,215.1463387,154.8110392,77.25681727,120.9631215,164.7154645,0.0005
253.8201458,217.0400558,57.85902988,234.3654819,214.8908657,155.2854895,77.25429491,120.9631215,164.9417443,0.0005
253.7922504,216.6966536,58.17435881,234.5759798,214.9708953,155.5585934,77.14503319,121.0556813,164.730501,0.0005
253.8166905,217.110869,57.8915211,234.349252,214.9708953,155.7323781,76.74057404,120.9831239,164.701191,0.0005
253.7820734,216.8593984,57.90603966,234.349252,214.9714523,155.1867683,77.4330646,121.2637077,164.2350337,0.0005
253.7922504,216.8559677,58.17435881,234.6165332,214.9892815,154.9875783,77.16825779,121.3178071,164.8572099,0.0005
253.8209151,216.8044543,57.85902988,234.5811344,214.8908657,155.3994479,77.26112708,120.9631215,164.5812035,0.0005
253.819793,217.0441917,57.69338396,234.91129,214.9304246,155.7323781,77.14503319,121.2458578,165.0738734,0.0005
253.8166905,216.6719445,58.15824091,234.5759798,214.9304246,155.912613,77.25429491,120.9871679,164.7605803,0.0005
253.8536503,216.8593984,57.90603966,234.91129,214.9316666,155.4117493,77.25681727,120.9831239,164.5812035,0.0005
253.8536503,217.110869,57.92154147,234.4664726,214.9495661,155.0640964,77.12344949,120.9084099,164.8572099,0.0005
253.8175431,216.8044543,58.14028137,234.3654819,214.9714523,155.0640964,76.74057404,121.067198,164.8572099,0.0005
253.7922504,217.0984185,58.15824091,234.764695,214.9708953,155.2854895,77.18044141,121.1514301,164.5027556,0.0005
253.8201458,216.8559677,57.9468306,234.764695,215.2450064,155.0640964,77.26989453,120.9084099,164.8572099,0.0005
253.8335404,216.8559677,57.90603966,235.079351,214.8908657,154.8424944,77.11774374,121.2458578,164.6902583,0.0005
253.8275532,216.8593984,58.15824091,234.757673,214.9768418,155.2854895,77.26989453,121.0801235,164.701191,0.0005
253.8201458,216.8548635,58.15824091,233.8513786,214.9304246,154.8424944,77.18044141,121.1514301,164.9417443,0.0005
253.8201458,216.8593984,58.17435881,234.764695,215.188618,155.1867683,76.74057404,121.1514301,164.730501,0.0005
253.8275532,216.6719445,57.85902988,234.757673,215.0929225,154.9875783,77.14503319,121.2458578,164.701191,0.0005
253.8335404,217.0400558,57.79950919,235.1837696,214.9304246,155.2807,76.86697209,121.3178071,164.5812035,0.0005
253.8335404,216.8480536,57.92154147,234.4664726,214.9892815,155.0640964,77.26112708,121.2637077,165.0738734,0.0005
253.8536503,216.5049635,57.7147833,234.4664726,214.9714523,154.9875783,77.25429491,120.9871679,164.2168613,0.0005
253.819793,217.110869,57.90010396,234.3654819,214.8880966,155.1867683,77.35657767,121.0556813,164.6902583,0.0005
253.8275532,216.6719445,57.90010396,234.4664726,214.8908657,154.8110392,77.14503319,121.0556813,164.7597196,0.0005
253.8149261,216.8593984,57.86713485,234.3654819,214.9708953,155.5585934,77.26989453,120.9631215,164.7154645,0.0005
253.8335404,216.8044543,58.15824091,235.079351,214.9316666,155.3994479,77.14503319,121.2458578,164.730501,0.0005
253.8175431,216.6719445,57.9468306,234.6165332,214.9304246,155.4117493,77.25429491,121.1514301,164.5027556,0.0005
253.8275532,217.0441917,57.7147833,234.5811344,214.9304246,155.2807,77.35657767,121.067198,164.7597196,0.0005
253.8335404,216.6966536,58.00240424,234.3654819,215.188618,155.569563,77.4330646,121.0556813,164.5027556,0.0005
253.8149261,217.0984185,57.86713485,234.5811344,215.0929225,155.7323781,77.4330646,121.2458578,164.9417443,0.0005
253.8191737,216.8559677,58.00240424,234.757673,214.8880966,155.5585934,76.86697209,120.9831239,165.0738734,0.0005
253.8306336,217.0984185,57.8915211,234.349252,214.9304246,155.2854895,77.25681727,121.2113179,164.5812035,0.0005
253.8536503,216.5941847,58.15824091,234.6959068,214.9316666,155.7323781,77.16825779,121.0801235,164.2562182,0.0005
253.8201458,217.110869,58.17435881,234.5024613,214.9304246,155.3994479,77.26989453,121.0591931,164.730501,0.0005
253.7820734,217.0984185,57.86713485,234.7172263,214.9495661,155.5585934,77.26112708,121.0591931,164.5027556,0.0005
253.8149261,217.0400558,58.15824091,234.7172263,214.8754011,155.7323781,77.26112708,121.014358,164.9417443,0.0005
253.8335404,216.5049635,57.90010396,234.5759798,215.188618,155.3940159,77.35657767,121.0556813,164.9417443,0.0005
253.8175431,216.6966536,57.90603966,234.764695,214.9714523,154.8110392,77.4330646,121.0591931,164.5027556,0.0005
253.8335404,216.6719445,57.9468306,234.757673,215.2782111,155.7323781,77.14503319,121.3178071,164.2168613,0.0005
253.7922504,216.8480536,57.8915211,234.4664726,214.9316666,154.9875783,76.86697209,121.067198,164.2168613,0.0005
253.8249826,216.5941847,57.8915211,233.8513786,214.9892815,155.2854895,77.35657767,121.1909144,164.7154645,0.0005
253.7922504,216.7665543,57.9468306,234.5759798,214.9714523,155.5585934,77.4330646,120.9871679,164.8572099,0.0005
253.8209151,216.7665543,57.79950919,234.5811344,214.9495661,154.8424944,77.18044141,121.014358,164.730501,0.0005
253.8249826,216.5941847,57.8915211,234.349252,214.9768418,155.3940159,77.26112708,121.014358,164.5027556,0.0005
253.8249826,216.8548635,57.69338396,234.91129,215.0929225,155.1867683,77.26989453,121.2458578,164.5027556,0.0005
253.8249826,217.110869,58.00240424,235.1837696,215.2450064,154.9875783,77.18044141,121.067198,164.5027556,0.0005
253.8166905,216.7665543,57.90603966,234.764695,214.9316666,155.912613,77.35657767,121.067198,165.0738734,0.0005
253.8209151,216.5049635,57.90010396,234.91129,214.8908657,154.9875783,77.26989453,121.3178071,164.5776437,0.0005
253.8175431,216.5049635,57.92154147,234.6165332,214.9304246,155.3940159,77.32430681,120.9084099,164.2562182,0.0005
253.8201458,216.8593984,57.9468306,234.6165332,214.8754011,155.569563,77.06054937,121.067198,164.701191,0.0005
253.8201458,216.8480536,57.9468306,234.6165332,214.9316666,155.2854895,77.25681727,120.9631215,164.2562182,0.0005
253.819793,216.8559677,57.92154147,233.8513786,214.9708953,154.8110392,76.74057404,121.1909144,164.2168613,0.0005
253.8166905,216.8044543,58.15824091,234.757673,214.8880966,154.8110392,76.86697209,121.014358,164.9417443,0.0005
253.8536503,216.8480536,57.79950919,235.1837696,215.188618,155.569563,77.14503319,120.9631215,164.701191,0.0005
253.8275532,216.8480536,57.72058064,234.6959068,214.8880966,155.2807,77.12344949,121.0556813,164.5027556,0.0005
253.7922504,216.6966536,57.79950919,234.764695,215.1463387,155.3940159,77.4330646,121.3178071,164.2562182,0.0005
253.8275532,216.8044543,57.92154147,234.349252,214.9708953,155.912613,76.74057404,120.9084099,164.7154645,0.0005
253.8201458,216.6719445,58.00240424,234.5759798,214.9768418,155.0640964,77.26989453,121.0801235,164.7154645,0.0005
253.819793,216.6966536,57.8915211,234.5759798,214.9304246,154.8424944,77.16825779,121.1514301,164.9417443,0.0005
253.7922504,216.5941847,57.7147833,234.6165332,214.9708953,155.0640964,77.26989453,120.9631215,164.2562182,0.0005
253.8149261,217.0984185,57.8915211,235.079351,214.9495661,155.7323781,77.06054937,121.014358,164.2350337,0.0005
253.8275532,216.8044543,57.79950919,234.6959068,214.9495661,155.7323781,77.25429491,120.9631215,165.0738734,0.0005
253.819793,216.6719445,57.72058064,234.5024613,215.1463387,155.2807,77.11774374,120.9631215,164.9417443,0.0005
253.7896266,217.0984185,58.14028137,234.6959068,214.9768418,155.3994479,77.06054937,121.3178071,164.9417443,0.0005
253.7896266,216.5049635,57.79950919,235.079351,214.9768418,155.3940159,77.4330646,121.3178071,164.7154645,0.0005
253.7896266,216.707511,58.00240424,234.5759798,214.9304246,154.9875783,77.11774374,121.1514301,164.730501,0.0005
253.8200381,214.6108429,64.96158383,211.8961384,199.6720854,169.615337,74.2215511,123.5059159,174.7299734,0.001
253.8253931,214.7748421,64.95118927,211.8538042,199.7838692,169.6306655,74.27517071,123.5059159,174.9097823,0.001
253.8259504,214.4445246,65.44094352,212.031948,199.5634,169.353566,74.32527746,123.4601186,175.343483,0.001
253.7964778,214.4652692,65.47405453,212.1608669,199.5510277,169.2025854,74.25533268,123.3579642,175.1441466,0.001
253.8060433,214.6108429,65.79228874,212.0384098,199.8648613,169.6306655,74.03508929,123.3579642,175.2752894,0.001
253.8452912,214.7670736,65.15601392,211.9589749,199.6518089,169.615337,74.2025798,123.4601186,175.1412381,0.001
253.8259504,214.4323372,65.47405453,212.0932514,199.6033187,170.1222116,74.2025798,123.4402755,174.9097823,0.001
253.8253931,214.7670736,65.66523863,211.9138512,199.7838692,169.276158,74.03508929,123.5681102,174.9097823,0.001
253.8296942,214.4445246,65.60355413,211.9269179,199.6720854,169.9224928,74.25533268,123.6344035,174.7451915,0.001
253.8395188,214.4652692,65.79228874,212.0596406,199.6720854,169.615337,74.2215511,123.4402755,175.0264749,0.001
253.8395396,214.5767414,64.96158383,211.9997978,199.6116663,169.6811986,74.18012657,123.4207043,175.0264749,0.001
253.8454465,214.4199448,65.47405453,211.8538042,199.6545649,170.183799,74.2215511,123.4362873,174.6114573,0.001
253.8116196,214.7811626,65.42098095,212.0932514,199.6518089,170.183799,74.22337999,123.5343538,174.5688343,0.001
253.812894,214.4652692,65.2518505,211.70841,199.4535758,169.2107977,74.2076038,123.4601186,175.343483,0.001
